id	name	year	teacher
1	Programmeren	2016-2017	Peter Dawyndt
3	Programming and Algorithms	2016-2017	Peter Dawyndt
19	Computergebruik	2016-2017	Peter Dawyndt
27	Scriptingtalen	2016-2017	Peter Dawyndt
29	Computational Biology	2016-2017	Peter Dawyndt
34	Introduction to Python	2017-2018	Peter Dawyndt
42	Programmeren	2017-2018	Peter Dawyndt
44	Programming and Algorithms	2017-2018	Peter Dawyndt
46	Computergebruik	2017-2018	Peter Dawyndt
62	Scriptingtalen	2017-2018	Peter Dawyndt
65	Computationele biologie	2017-2018	Peter Dawyndt
88	Programmeren	2018-2019	Peter Dawyndt
91	Computergebruik	2018-2019	Peter Dawyndt
95	Programming and Algorithms	2018-2019	Peter Dawyndt
121	Scriptingtalen	2018-2019	Peter Dawyndt
124	Computationele biologie	2018-2019	Peter Dawyndt
